"","rank","title","authors","affiliations","pubtitle","punumber","py","volume","issue","part","spage","epage","arnumber","abstract","doi","mdurl","pdf","pubtype","publisher","isbn","issn","publicationId","thesaurusterms","controlledterms","uncontrolledterms","htmlFlag"
"927","927","Reconfigurable Waveguide for Vector Network Analyzer Verification","Papantonis, S.;  Ridler, N.M.;  Wilson, A.;  Lucyszyn, S.","Opt. & Semicond. Devices Group, Imperial Coll. London, London, UK","Microwave Theory and Techniques, IEEE Transactions on","22","2014","62","10","","2415","2422","6876052","A novel simple approach to the verification process for millimeter-wave vector network analyzer waveguide calibration is reported using a single reconfigurable component verification kit. Conventional techniques require multiple verification components and these only exist commercially for operation up to 110 GHz. At millimeter-wave frequencies, the use of multiple components can lead to significant errors due to imperfections in waveguide flange misalignments during the multiple component connections. The reconfigurable component is designed so that its electrical properties can be changed quickly to a broad range of predetermined values without introducing additional errors due to changes in flange alignment. Once connected, the component can be reconfigured to introduce relative changes in the reflected and transmitted signals. For millimeter-wave metrology, where mechanical precision is of paramount importance, this single-component verification approach represents an attractive solution. A proof-of-concept verification process is described, based on full-wave electromagnetic modeling, hardware implementation, and validation measurements using standard WR-15 waveguide (50-75 GHz).","10.1109/TMTT.2014.2344625","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6876052&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6876052","Journals & Magazines","IEEE","","0018-9480","6876052","Calibration|Coordinate measuring machines|Pins|Standards|Vectors|Waveguide components","calibration|millimetre wave measurement|network analysers|rectangular waveguides","","1"
"928","928","Analysis of Hysteresis Width on Optical Bistability for the Realization of Optical SR Flip-Flop Using SMFP-LDs With Simultaneous Inverted and Non-Inverted Outputs","Nakarmi, B.;  Hoai, T.Q.;  Won, Y.H.;  Xuping Zhang","Inst. of Opt. Commun. Eng., Nanjing Univ., Nanjing, China","Photonics Journal, IEEE","4563994","2014","6","3","","1","12","6814835","The width of hysteresis in optical bistability plays an important role on latching operation. The injected input optical power and wavelength detuning in single mode Fabry-Perot laser diode (SMFP-LD) are two parameters that can impact the width of hysteresis in bistability of dominant mode and injected mode. In this paper, we analyze the effect of wavelength detuning on width of the hysteresis loop, the dynamic power range for optical bistability, and the rising-falling time of output waveform. With this analysis, optical Set Reset flip-flop with simultaneous inverted and non-inverted output at the data rate of 8.5 Gb/s are obtained using SMFP-LDs. The principle is based on the optical bistability phenomena during injection-locking of the Fabry-Perot laser diode. The set and reset pulses are maintained in low power of about -14 and -6 dBm for the power effective configuration. The contrast ratios of more than 20 dB with simultaneous non-inverted and inverted output Q and Q are observed. Clear output spectrum domain results, waveforms, eye diagram with extinction ratio of more than 12 dB, a rising/falling time of about 40 ps, and bit error rate (BER) measurement without noise floor up to 10 <sup>-12</sup> are observed. The maximum power penalty is about 1.8 dB at BER of 10 <sup>-9</sup>.","10.1109/JPHOT.2014.2323303","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6814835&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6814835","Journals & Magazines","IEEE","","1943-0655","6814835","Hysteresis|Injection-locked oscillators|Laser beams|Optical bistability|Optical pulses|Optical signal processing|Particle beam injection","error statistics|extinction coefficients|flip-flops|hysteresis|laser modes|optical bistability|optical logic|optical tuning|semiconductor lasers","","1"
"929","929","Communicating Power Supplies: Bringing the Internet to the Ubiquitous Energy Gateways of Electronic Devices","Lanzisera, S.;  Weber, A.R.;  Liao, A.;  Pajak, D.;  Meier, A.K.","Environ. Energy Technol. Div., Lawrence Berkeley Nat. Lab., Berkeley, CA, USA","Internet of Things Journal, IEEE","6488907","2014","1","2","","153","160","6778069","Saving energy in buildings is often hampered by the lack of detailed information about what is using the energy, how much it is using, and how to automatically and remotely control devices. The problem is especially acute for the large number of small, energy-using devices that are present in both residential and commercial buildings. Most of these products use a switching ac to dc power supply to operate electronic and other internal components. We describe a &#x201C;communicating power supply&#x201D; (CPS) to enable the communication of energy and control information between the device and a building management system or other central entities. We developed a proof-of-concept system of Internet-connected CPSs and demonstrated both energy reporting and control utilizing a custom, cloud-based information clearing house. If CPS technology became widespread in devices, a combination of automated and human interactive solutions would enable high levels of energy savings.","10.1109/JIOT.2014.2307077","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6778069&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6778069","Journals & Magazines","IEEE","","2327-4662","6778069","Electricity supply industry|Energy efficiency|Energy management|Internet of Things|Monitoring|Power supplies|Standards|Switches|Ubiquitous computing|Voltage measurement","Internet|building management systems|energy conservation|power engineering computing","","1"
"930","930","Diagnosis of Active Systems by Semantic Patterns","Lamperti, G.;  XiangFu Zhao","Dept. of Inf. Eng., Univ. of Brescia, Brescia, Italy","Systems, Man, and Cybernetics: Systems, IEEE Transactions on","6221021","2014","44","8","","1028","1043","6725692","A gap still exists between complex discrete-event systems (DESs) and the effectiveness of the state-of-the-art diagnosis techniques, where faults are defined at component levels and diagnoses incorporate the occurrences of component faults. All these approaches to diagnosis are context-free, in as much diagnosis is anchored to components, irrespective of the context in which they are embedded. By contrast, since complex DESs are naturally organized in hierarchies of contexts, different diagnosis rules are to be defined for different contexts. Diagnosis rules are specified based on associations between context-sensitive faults and regular expressions, called semantic patterns. Since the alphabets of such regular expressions are stratified, so that the semantic patterns of a context are defined based on the interface symbols of its subcontexts only, separation of concerns is achieved, and the expressive power of diagnosis is enhanced. This new approach to diagnosis is bound to seemingly contradictory but nonetheless possible scenarios: a DES can be normal despite the faulty behavior of a number of its components; also, it can be faulty despite the normal behavior of all its components.","10.1109/TSMC.2013.2296277","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6725692&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6725692","Journals & Magazines","IEEE","","2168-2216","6725692","Automata|Circuit faults|Context|History|Monitoring|Semantics|Syntactics","discrete event systems|failure analysis|fault diagnosis|formal languages|reliability theory","","1"
"931","931","<inline-formula> <img src=""/images/tex/24556.gif"" alt=""{mbi{\mu }}""> </inline-formula>-Foil Polymer Electrode Array for Intracortical Neural Recordings","Ejserholm, F.;  Kohler, P.;  Granmo, M.;  Schouenborg, J.;  Bengtsson, M.;  Wallman, L.","Dept. of Biomed. Eng., Lund Univ., Lund, Sweden","Translational Engineering in Health and Medicine, IEEE Journal of","6221039","2014","2","","","1","7","6823093","We have developed a multichannel electrode array-termed &#x03BC;-foil-that comprises ultrathin and flexible electrodes protruding from a thin foil at fixed distances. In addition to allowing some of the active sites to reach less compromised tissue, the barb-like protrusions that also serves the purpose of anchoring the electrode array into the tissue. This paper is an early evaluation of technical aspects and performance of this electrode array in acute in vitro/in vivo experiments. The interface impedance was reduced by up to two decades by electroplating the active sites with platinum black. The platinum black also allowed for a reduced phase lag for higher frequency components. The distance between the protrusions of the electrode array was tailored to match the architecture of the rat cerebral cortex. In vivo acute measurements confirmed a high signal-to-noise ratio for the neural recordings, and no significant crosstalk between recording channels.","10.1109/JTEHM.2014.2326859","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6823093&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6823093","Journals & Magazines","IEEE","","2168-2372","6823093","Biological tissues|Brain modeling|Crosstalk|Electrodes|Impedance|In vitro|Multiaccess communication","bioMEMS|bioelectric potentials|biological tissues|biomedical electrodes|biomedical measurement|brain|brain-computer interfaces|electric impedance|electroplating|foils|medical signal processing|microelectrodes|neurophysiology|platinum|polymers","","1"
"932","932","Sharp Plasmon-Mediated Resonant Reflection From an Undulated Metal Layer","Jourlin, Y.;  Tonchev, S.;  Tishchenko, A.V.;  Parriaux, O.","Lab. Hubert Curien, Univ. de Lyon, St. Etienne, France","Photonics Journal, IEEE","4563994","2014","6","5","","1","6","6926775","A close-to-the-theoretically-largest TM resonant reflection of a free-space wave from a free-standing undulated gold layer immersed in a liquid host medium is demonstrated experimentally. It is mediated by the grating-excited long-range plasmon mode propagating along the continuous metal film with particularly low loss.","10.1109/JPHOT.2014.2361664","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6926775&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6926775","Journals & Magazines","IEEE","","1943-0655","6926775","Films|Gold|Gratings|Plasmons|Propagation losses|Reflection","X-ray spectra|gold|metallic thin films|optical films|optical losses|plasmons","","1"
"933","933","BitTorrent Content Distribution in Optical Networks","Lawey, A.Q.;  El-Gorashi, T.E.H.;  Elmirghani, J.M.H.","Sch. of Electron. & Electr. Eng., Univ. of Leeds, Leeds, UK","Lightwave Technology, Journal of","50","2014","32","21","","4209","4225","6882178","In this paper, we extend our previous study on BitTorrent, the most popular peer-to-peer (P2P) protocol, to investigate different aspects related to its energy efficiency in IP over WDM (IP/WDM) networks, validating the power savings previously obtained by modeling and simulation through experimental results. Our contributions can be summarized as follows: First, we compare the energy consumption of our previously proposed energy efficient BitTorrent protocol to that of the original BitTorrent protocol and the client-server (C-S) schemes over bypass IP/WDM networks considering a range of network topologies with different number of nodes and average hop counts. Our results show that for a certain swarm size, the energy efficient BitTorrent protocol achieves higher power savings in networks with lower number of nodes as the opportunity to localize traffic increases. Second, we extend our previously developed energy efficient BitTorrent heuristic enhancing its performance by allowing peers to progressively traverse more hops in the network if the number of peers in the local node is not sufficient. Third, we extend our previously developed mixed integer linear programming model to optimize the location as well as the upload rates of operator controlled seeders (OCS) to mitigate the performance degradation caused by leechers leaving after finishing the downloading operation. Fourth, we compare the power consumption of video on demand (VoD) services delivered using content distribution networks (CDN), P2P, and a promising hybrid CDN-P2P architecture over bypass IP/WDM core networks. A MILP model is developed to carry out the comparison. We investigate two scenarios for the hybrid CDN-P2P architecture: the H-MinNPC model where the model minimizes the IP/WDM network power consumption and the H-MinTPC model where the model minimizes the total power consumption including the network and the CDN datacenters power consumption. Finally, we carry out an experimental evaluation - f the original and energy efficient BitTorrent heuristics.","10.1109/JLT.2014.2351074","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6882178&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6882178","Journals & Magazines","IEEE","","0733-8724","6882178","Energy consumption|Energy efficiency|IP networks|Peer-to-peer computing|Power demand|Protocols|WDM networks","IP networks|client-server systems|integer programming|linear programming|optical fibre networks|peer-to-peer computing|protocols|telecommunication network topology|telecommunication services|telecommunication traffic|video on demand|wavelength division multiplexing","","1"
"934","934","On Switched Regulator Design of Uncertain Nonlinear Systems Using Takagi&#x2013;Sugeno Fuzzy Models","de Souza, W.A.;  Teixeira, M.C.M.;  Cardim, R.;  Assuncao, E.","Dept. of Acad. Areas of Jatai, IFG (Fed. Inst. of Educ., Sci. & Technol. of Goias), Jatai, Brazil","Fuzzy Systems, IEEE Transactions on","91","2014","22","6","","1720","1727","6722917","This paper is concerned with the design of state-feedback switched controllers for a class of uncertain nonlinear plants described by Takagi-Sugeno (T-S) fuzzy models. The proposed methodology eliminates the need to find the membership function expressions to implement the control law, which is relevant in cases where the membership function depends on uncertain parameters. The design of the switched controllers is based on a minimum-type Lyapunov function and the minimization of the time derivative of this Lyapunov function. The conditions of the new stability criterion are represented by a kind of bilinear matrix inequalities (BMIs) that has been solved by the path-following method. A numerical example and the nonlinear control design of a magnetic levitator with uncertainties illustrate the procedure.","10.1109/TFUZZ.2014.2302494","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6722917&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6722917","Journals & Magazines","IEEE","","1063-6706","6722917","Indexes|Lyapunov methods|Nonlinear systems|Switches|Symmetric matrices|Takagi-Sugeno model","Lyapunov methods|control system synthesis|fuzzy control|linear matrix inequalities|nonlinear control systems|uncertain systems","","1"
"935","935","A Contract-Based Methodology for Aircraft Electric Power System Design","Nuzzo, P.;  Huan Xu;  Ozay, N.;  Finn, J.B.;  Sangiovanni-Vincentelli, A.L.;  Murray, R.M.;  Donze, A.;  Seshia, S.A.","Dept. of Electr. Eng. & Comput. Sci., Univ. of California at Berkeley, Berkeley, CA, USA","Access, IEEE","6287639","2014","2","","","1","25","6690099","In an aircraft electric power system, one or more supervisory control units actuate a set of electromechanical switches to dynamically distribute power from generators to loads, while satisfying safety, reliability, and real-time performance requirements. To reduce expensive redesign steps, this control problem is generally addressed by minor incremental changes on top of consolidated solutions. A more systematic approach is hindered by a lack of rigorous design methodologies that allow estimating the impact of earlier design decisions on the final implementation. To achieve an optimal implementation that satisfies a set of requirements, we propose a platform-based methodology for electric power system design, which enables independent implementation of system topology (i.e., interconnection among elements) and control protocol by using a compositional approach. In our flow, design space exploration is carried out as a sequence of refinement steps from the initial specification toward a final implementation by mapping higher level behavioral and performance models into a set of either existing or virtual library components at the lower level of abstraction. Specifications are first expressed using the formalisms of linear temporal logic, signal temporal logic, and arithmetic constraints on Boolean variables. To reason about different requirements, we use specialized analysis and synthesis frameworks and formulate assume guarantee contracts at the articulation points in the design flow. We show the effectiveness of our approach on a proof-of-concept electric power system design.","10.1109/ACCESS.2013.2295764","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6690099&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6690099","Journals & Magazines","IEEE","","2169-3536","6690099","Aircraft manufacture|Cyberphysical systems|Design automation|Design methodology|Power system stabilty","CAD|aircraft|aircraft power systems|integer programming|linear programming|power engineering computing|temporal logic","","1"
"936","936","Improvement in the Light Extraction of Blue InGaN/GaN-Based LEDs Using Patterned Metal Contacts","Kadiyala, A.;  Kyoungnae Lee;  Rodak, L.E.;  Hornak, L.A.;  Korakakis, D.;  Dawson, J.M.","West Virginia Univ., Morgantown, WV, USA","Electron Devices Society, IEEE Journal of the","6245494","2014","2","2","","16","22","6656882","We demonstrate a method to improve the light extraction from an LED using photonic crystal (PhC)-like structures in metal contacts. A patterned metal contact with an array of Silicon Oxide (SiO<sub>x</sub>) pillars (440 nm in size) on an InGaN/GaN-based MQW LED has shown to increase output illumination uniformity through experimental characterization. Structural methods of improving light extraction using transparent contacts or dielectric photonic crystals typically require a tradeoff between improving light extraction and optimal electrical characteristics. The method presented here provides an alternate solution to provide a 15% directional improvement (surface normal) in the radiation profile and ~ 30% increase in the respective intensity profile without affecting the electrical characteristics of the device. Electron beam patterning of hydrogen silesquioxane (HSQ), a novel electron beam resist is used in patterning these metal contacts. After patterning, thermal curing of the patterned resist is done to form SiO<sub>x</sub> pillars. These SiO<sub>x</sub> pillars aid as a mask for transferring the pattern to the p-metal contact. Electrical and optical characterization results of LEDs fabricated with and without patterned contacts are presented. We present the radiation and intensity profiles of the planar and patterned devices extracted using Matlab-based image analysis technique from 200 &#x03BC;m (diameter) circular unpackaged LEDs.","10.1109/JEDS.2013.2289308","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6656882&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6656882","Journals & Magazines","IEEE","","2168-6734","6656882","Contacts|Fabrication|Gallium nitride|Light emitting diodes|Lithography|Metals|Photonic crystals","III-V semiconductors|electron beam lithography|gallium compounds|indium compounds|light emitting diodes|lighting|mathematics computing|photonic crystals|quantum well devices|silicon compounds|wide band gap semiconductors","","1"
"937","937","Advanced DSP for 400 Gb/s and Beyond Optical Networks","Xiang Zhou;  Nelson, L.","AT&T Labs., Middletown, NJ, USA","Lightwave Technology, Journal of","50","2014","32","16","","2716","2725","6810180","This paper presents a systematic review of several digital signal processing (DSP)-enabled technologies recently proposed and demonstrated for high spectral efficiency (SE) 400 Gb/s-class and beyond optical networks. These include 1) a newly proposed SE-adaptable optical modulation technology-time-domain hybrid quadrature amplitude modulation (QAM), 2) two advanced transmitter side digital spectral shaping technologies-Nyquist signaling (for spectrally-efficient multiplexing) and digital pre-equalization (for improving tolerance toward channel narrowing effects), and 3) a newly proposed training-assisted two-stage carrier phase recovery algorithm that is designed to address the detrimental cyclic phase slipping problem with minimal training overhead. Additionally, this paper presents a novel DSP-based method for mitigation of equalizer-enhanced phase noise impairments. It is shown that performance degradation caused by the interaction between the long-memory chromatic dispersion compensating filter/equalizer and local oscillator laser phase noise can be effectively mitigated by replacing the commonly used fast single-tap phase-rotation-based equalizer (for typical carrier phase recovery) with a fast multi-tap linear equalizer. Finally, brief reviews of two high-SE 400 Gb/s-class WDM transmission experiments employing these advanced DSP algorithms are presented.","10.1109/JLT.2014.2321135","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6810180&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6810180","Journals & Magazines","IEEE","","0733-8724","6810180","Digital signal processing|Optical filters|Optical transmitters|Quadrature amplitude modulation|Time-domain analysis|Training","equalisers|optical fibre dispersion|optical fibre networks|optical filters|optical modulation|optical transmitters|oscillators|phase noise|quadrature amplitude modulation|signal denoising|telecommunication channels|time-domain analysis|wavelength division multiplexing","","1"
"938","938","Simplified Configuration of Brillouin Optical Correlation-Domain Reflectometry","Hayashi, N.;  Mizuno, Y.;  Nakamura, K.","Precision & Intell. Lab., Tokyo Inst. of Technol., Yokohama, Japan","Photonics Journal, IEEE","4563994","2014","6","5","","1","7","6917205","We develop a simple and cost-efficient configuration of Brillouin optical correlation-domain reflectometry (BOCDR), the setup of which does not include an additional reference path used in standard BOCDR systems. The Fresnel-reflected light from an open end of a sensing fiber is used as reference light. The limitations of spatial resolution, measurement range, and their ratio are theoretically clarified, and then, a distributed strain measurement with a &lt;; 100-mm spatial resolution and a 4.1-m measurement range is demonstrated with a high signal-to-noise ratio.","10.1109/JPHOT.2014.2361638","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6917205&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6917205","Journals & Magazines","IEEE","","1943-0655","6917205","Frequency modulation|Optical fiber sensors|Optical fibers|Scattering|Spatial resolution|Temperature measurement","Brillouin spectra|fibre optic sensors|light reflection|reflectometry|strain measurement","","1"
"939","939","Efficiency and Scalability of Dielectric Resonator Antennas at Optical Frequencies","Longfang Zou;  Withayachumnankul, W.;  Shah, C.M.;  Mitchell, A.;  Klemm, M.;  Bhaskaran, M.;  Sriram, S.;  Fumeaux, C.","Sch. of Electr. & Electron. Eng., Univ. of Adelaide, Adelaide, SA, Australia","Photonics Journal, IEEE","4563994","2014","6","4","","1","10","6851849","Dielectric resonators have been foreseen as a pathway for the realization of highly efficient nanoantennas and metamaterials at optical frequencies. In this paper, we study the resonant behavior of dielectric nanocylinders located on a metal plane, which in combination create dielectric resonator antennas operating in reflection mode. By implementing appropriate resonator models, the field distributions, the scaling behavior, and the efficiency of dielectric resonator antennas are studied across the spectrum from the microwave toward visible frequency bands. Numerical results confirm that a radiation efficiency above 80% can be retained up to the near-infrared with metal-backed dielectric resonators. This paper establishes fundamental knowledge toward development of high efficiency dielectric resonator antennas and reflection metasurfaces at optical frequencies. These dielectric resonators can be incorporated as basic elements in emerging applications, e.g., flat optical components, quantum dot emitters, and subwavelength sensors.","10.1109/JPHOT.2014.2337891","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6851849&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6851849","Journals & Magazines","IEEE","","1943-0655","6851849","Dielectric resonator antennas|Dielectrics|Numerical models|Optical resonators|Resonant frequency|Silver","dielectric resonator antennas|nanostructured materials|reflectivity","","1"
"940","940","Bipolar Piezoelectric Buckling Actuators","Neal, D.M.;  Asada, H.H.","Dept. of Mech. Eng., Massachusetts Inst. of Technol., Cambridge, MA, USA","Mechatronics, IEEE/ASME Transactions on","3516","2014","19","1","","9","19","6311477","A nonlinear piezoelectric amplification mechanism utilizing structural buckling is presented, and its static and dynamic properties are measured and analyzed. Buckling is a pronounced nonlinear effect that occurs at a structurally singular point. A small piezoelectric displacement on the order of 10 &#x03BC;m results in a large buckling displacement on the order of millimeter. Furthermore, the usable stroke is doubled if both sides of the singular point can be reached resulting in bipolar motion. Despite the large gain, buckling is an erratic, singular phenomenon; the side on which deflection will occur is unpredictable. In this paper, multiple design concepts are presented for regulating the buckling direction as well as for extending its usable stroke to bipolar motion. Nonlinear force-displacement relationships are modeled and measured. Nonlinear dynamic analysis using phase planes reveals that the buckling actuator can generate bipolar motion above a specific amplitude. Below this amplitude, it generates only monopolar oscillation. The proposed design concepts are implemented on monolithic flexure mechanisms, and prototype buckling actuators are tested to verify the concepts. Experiments show promising results: 20 N of peak-to-peak output force, and 6.2 mm of bipolar displacement generated by piezoelectric actuators with free displacement of 42 &#x03BC;m.","10.1109/TMECH.2012.2216888","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6311477&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6311477","Journals & Magazines","IEEE","","1083-4435","6311477","Actuators|Force|Joints|Kinematics|Springs|Strain","amplifiers|bending|buckling|displacement measurement|force measurement|piezoelectric actuators|piezoelectric oscillations","","1"
"941","941","Radio interface evolution towards 5G and enhanced local area communications","Levanen, T.A.;  Pirskanen, J.;  Koskela, T.;  Talvitie, J.;  Valkama, M.","Dept. of Electron. & Commun. Eng., Tampere Univ. of Technol., Tampere, Finland","Access, IEEE","6287639","2014","2","","","1005","1029","6891105","The exponential growth of mobile data in macronetworks has driven the evolution of communications systems toward spectrally efficient, energy efficient, and fast local area communications. It is a well-known fact that the best way to increase capacity in a unit area is to introduce smaller cells. Local area communications are currently mainly driven by the IEEE 802.11 WLAN family being cheap and energy efficient with a low number of users per access point. For the future high user density scenarios, following the 802.11 HEW study group, the 802.11ax project has been initiated to improve the WLAN system performance. The 3GPP LTE-advanced (LTE-A) also includes new methods for pico and femto cell's interference management functionalities for small cell communications. The main problem with LTE-A is, however, that the physical layer numerology is still optimized for macrocells and not for local area communications. Furthermore, the overall complexity and the overheads of the control plane and reference symbols are too large for spectrally and energy efficient local area communications. In this paper, we provide first an overview of WLAN 802.11ac and LTE/LTE-A, discuss the pros and cons of both technology areas, and then derive a new flexible TDD-based radio interface parametrization for 5G local area communications combining the best practices of both WiFi and LTE-A technologies. We justify the system design based on local area propagation characteristics and expected traffic distributions and derive targets for future local area concepts. We concentrate on initial physical layer design and discuss how it maps to higher layer improvements. This paper shows that the new design can significantly reduce the latency of the system, and offer increased sleeping opportunities on both base station and user equipment sides leading to enhanced power savings. In addition, through careful design of the control overhead, we are able to improve the channel utilization when compared- with LTE-A.","10.1109/ACCESS.2014.2355415","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6891105&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6891105","Journals & Magazines","IEEE","","2169-3536","6891105","Long Term Evolution|Mobile communication|OFDM|Physical layer|Throughput|Uplink|Wireless LAN","4G mobile communication|Long Term Evolution|femtocellular radio|picocellular radio|radiofrequency interference|telecommunication standards|telecommunication traffic|time division multiplexing|wireless LAN","","1"
"942","942","Selected diagnostic methods of electrical machines operating in industrial conditions","Baranski, M.;  Decner, A.;  Polak, A.","Inst. of Electr. Drives & Machines KOMEL, Katowice, Poland","Dielectrics and Electrical Insulation, IEEE Transactions on","94","2014","21","5","","2047","2054","6927332","The article proposes a series of tests on the groundwall insulation, utilizing the dc voltage and consisting of three related procedures. After running the tests, the obtained data are analyzed and insulation is graded in accordance with proposed criteria. These criteria are presented in the paper. The method has been illustrated by real-life example of electrical machine tests' results. The article describes the turn-to-turn insulation substitute circuit and results of simulations and measurements. There is shown a new diagnostic method to determinate condition of this insulation. The suggested method can be used in any kind of machine and it is easy to use. The most commonly damaged machine parts, except the insulation, are bearings, so the authors decided to mention in the article, about vibration measurements.","10.1109/TDEI.2014.004602","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6927332&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6927332","Journals & Magazines","IEEE","","1070-9878","6927332","Coils|Electrical resistance measurement|Insulation|Resistance|Vibrations|Voltage measurement|Windings","condition monitoring|electric machines|insulation testing|machine insulation|production equipment|vibration measurement","","1"
"943","943","A Nonlinear Mapping Approach to Stain Normalization in Digital Histopathology Images Using Image-Specific Color Deconvolution","Khan, A.M.;  Rajpoot, N.;  Treanor, D.;  Magee, D.","Dept. of Comput. Sci., Univ. of Warwick, Coventry, UK","Biomedical Engineering, IEEE Transactions on","10","2014","61","6","","1729","1738","6727397","Histopathology diagnosis is based on visual examination of the morphology of histological sections under a microscope. With the increasing popularity of digital slide scanners, decision support systems based on the analysis of digital pathology images are in high demand. However, computerized decision support systems are fraught with problems that stem from color variations in tissue appearance due to variation in tissue preparation, variation in stain reactivity from different manufacturers/batches, user or protocol variation, and the use of scanners from different manufacturers. In this paper, we present a novel approach to stain normalization in histopathology images. The method is based on nonlinear mapping of a source image to a target image using a representation derived from color deconvolution. Color deconvolution is a method to obtain stain concentration values when the stain matrix, describing how the color is affected by the stain concentration, is given. Rather than relying on standard stain matrices, which may be inappropriate for a given image, we propose the use of a color-based classifier that incorporates a novel stain color descriptor to calculate image-specific stain matrix. In order to demonstrate the efficacy of the proposed stain matrix estimation and stain normalization methods, they are applied to the problem of tumor segmentation in breast histopathology images. The experimental results suggest that the paradigm of color normalization, as a preprocessing step, can significantly help histological image analysis algorithms to demonstrate stable performance which is insensitive to imaging conditions in general and scanner variations in particular.","10.1109/TBME.2014.2303294","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6727397&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6727397","Journals & Magazines","IEEE","","0018-9294","6727397","Deconvolution|Estimation|Histograms|Image analysis|Image color analysis|Licenses|Training","decision support systems|deconvolution|image colour analysis|medical image processing|patient diagnosis|tumours","","1"
"944","944","Mobile Trusted Computing","Asokan, N.;  Ekberg, J.-E.;  Kostiainen, K.;  Rajan, A.;  Rozas, C.;  Sadeghi, A.-R.;  Schulz, S.;  Wachsmann, C.","Intel Collaborative Res. Inst. for Secure Comput., Univ. of Helsinki, Aalto, Finland","Proceedings of the IEEE","5","2014","102","8","","1189","1206","6856168","Trusted computing technologies for mobile devices have been researched, developed, and deployed over the past decade. Although their use has been limited so far, ongoing standardization may change this by opening up these technologies for easy access by developers and users. In this survey, we describe the current state of trusted computing solutions for mobile devices from research, standardization, and deployment perspectives.","10.1109/JPROC.2014.2332007","http://ieeexplore.ieee.org/xpl/articleDetails.jsp?tp=&arnumber=6856168&contentType=Journals+%26+Magazines","http://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6856168","Journals & Magazines","IEEE","","0018-9219","6856168","Computer architecture|Cryptography|Hardware|Integrated circuit modeling|Mobile communication|Mobile handsets|Software engineering","mobile computing|research and development|standardisation|trusted computing","","1"
